Field ID	Field
1	eventid
2	iyear
3	imonth
4	iday
5	approxdate
6	extended
7	resolution
8	country
9	country_txt
10	region
11	region_txt
12	provstate
13	city
14	latitude
15	longitude
16	specificity
17	vicinity
18	location
19	summary
20	crit1
21	crit2
22	crit3
23	doubtterr
24	alternative
25	alternative_txt
26	multiple
27	success
28	suicide
29	attacktype1
30	attacktype1_txt
31	attacktype2
32	attacktype2_txt
33	attacktype3
34	attacktype3_txt
35	targtype1
36	targtype1_txt
37	targsubtype1
38	targsubtype1_txt
39	corp1
40	target1
41	natlty1
42	natlty1_txt
43	targtype2
44	targtype2_txt
45	targsubtype2
46	targsubtype2_txt
47	corp2
48	target2
49	natlty2
50	natlty2_txt
51	targtype3
52	targtype3_txt
53	targsubtype3
54	targsubtype3_txt
55	corp3
56	target3
57	natlty3
58	natlty3_txt
59	gname
60	gsubname
61	gname2
62	gsubname2
63	gname3
64	gsubname3
65	motive
66	guncertain1
67	guncertain2
68	guncertain3
69	individual
70	nperps
71	nperpcap
72	claimed
73	claimmode
74	claimmode_txt
75	claim2
76	claimmode2
77	claimmode2_txt
78	claim3
79	claimmode3
80	claimmode3_txt
81	compclaim
82	weaptype1
83	weaptype1_txt
84	weapsubtype1
85	weapsubtype1_txt
86	weaptype2
87	weaptype2_txt
88	weapsubtype2
89	weapsubtype2_txt
90	weaptype3
91	weaptype3_txt
92	weapsubtype3
93	weapsubtype3_txt
94	weaptype4
95	weaptype4_txt
96	weapsubtype4
97	weapsubtype4_txt
98	weapdetail
99	nkill
100	nkillus
101	nkillter
102	nwound
103	nwoundus
104	nwoundte
105	property
106	propextent
107	propextent_txt
108	propvalue
109	propcomment
110	ishostkid
111	nhostkid
112	nhostkidus
113	nhours
114	ndays
115	divert
116	kidhijcountry
117	ransom
118	ransomamt
119	ransomamtus
120	ransompaid
121	ransompaidus
122	ransomnote
123	hostkidoutcome
124	hostkidoutcome_txt
125	nreleased
126	addnotes
127	scite1
128	scite2
129	scite3
130	dbsource
131	INT_LOG
132	INT_IDEO
133	INT_MISC
134	INT_ANY
135	related
