Field ID	Year Code	Year
3	f1970	1970
4	f1971	1971
5	f1972	1972
6	f1973	1973
7	f1974	1974
8	f1975	1975
9	f1976	1976
10	f1977	1977
11	f1978	1978
12	f1979	1979
13	f1980	1980
14	f1981	1981
15	f1982	1982
16	f1983	1983
17	f1984	1984
18	f1985	1985
19	f1986	1986
20	f1987	1987
21	f1988	1988
22	f1989	1989
23	f1990	1990
24	f1991	1991
25	f1992	1992
26	f1993	1993
27	f1994	1994
28	f1995	1995
29	f1996	1996
30	f1997	1997
31	f1998	1998
32	f1999	1999
33	f2000	2000
34	f2001	2001
35	f2002	2002
36	f2003	2003
37	f2004	2004
38	f2005	2005
39	f2006	2006
40	f2007	2007
41	f2008	2008
42	f2009	2009
43	f2010	2010
44	f2011	2011
45	f2012	2012
46	f2013	2013
47	f2014	2014
48	f2015	2015
49	f2016	2016
