Field ID	Field
1	Country Name
2	Country Code
3	Region
4	m1970
5	m1971
6	m1972
7	m1973
8	m1974
9	m1975
10	m1976
11	m1977
12	m1978
13	m1979
14	m1980
15	m1981
16	m1982
17	m1983
18	m1984
19	m1985
20	m1986
21	m1987
22	m1988
23	m1989
24	m1990
25	m1991
26	m1992
27	m1993
28	m1994
29	m1995
30	m1996
31	m1997
32	m1998
33	m1999
34	m2000
35	m2001
36	m2002
37	m2003
38	m2004
39	m2005
40	m2006
41	m2007
42	m2008
43	m2009
44	m2010
45	m2011
46	m2012
47	m2013
48	m2014
49	m2015
50	m2016
51	f1970
52	f1971
53	f1972
54	f1973
55	f1974
56	f1975
57	f1976
58	f1977
59	f1978
60	f1979
61	f1980
62	f1981
63	f1982
64	f1983
65	f1984
66	f1985
67	f1986
68	f1987
69	f1988
70	f1989
71	f1990
72	f1991
73	f1992
74	f1993
75	f1994
76	f1995
77	f1996
78	f1997
79	f1998
80	f1999
81	f2000
82	f2001
83	f2002
84	f2003
85	f2004
86	f2005
87	f2006
88	f2007
89	f2008
90	f2009
91	f2010
92	f2011
93	f2012
94	f2013
95	f2014
96	f2015
97	f2016
98	i1970
99	i1971
100	i1972
101	i1973
102	i1974
103	i1975
104	i1976
105	i1977
106	i1978
107	i1979
108	i1980
109	i1981
110	i1982
111	i1983
112	i1984
113	i1985
114	i1986
115	i1987
116	i1988
117	i1989
118	i1990
119	i1991
120	i1992
121	i1993
122	i1994
123	i1995
124	i1996
125	i1997
126	i1998
127	i1999
128	i2000
129	i2001
130	i2002
131	i2003
132	i2004
133	i2005
134	i2006
135	i2007
136	i2008
137	i2009
138	i2010
139	i2011
140	i2012
141	i2013
142	i2014
143	i2015
144	i2016
