Country Code	Country Name	m1970	m1971	m1972	m1973	m1974	m1975	m1976	m1977	m1978	m1979	m1980	m1981	m1982	m1983	m1984	m1985	m1986	m1987	m1988	m1989	m1990	m1991	m1992	m1993	m1994	m1995	m1996	m1997	m1998	m1999	m2000	m2001	m2002	m2003	m2004	m2005	m2006	m2007	m2008	m2009	m2010	m2011	m2012	m2013	m2014	m2015	m2016
ABW	Aruba																																															
AFG	Afghanistan	204,8	201	197	193,1	188,8	184,7	180,6	176,3	172	167,7	163,3	158,9	154,4	149,8	145,6	141,3	137	132,7	128,5	124,3	120,2	116,4	112,9	109,5	106,3	103,3	100,5	97,9	95,4	93,1	90,8	88,4	86,1	83,6	81,1	78,5	76	73,4	70,8	68,2	65,7	63,3	61	58,8	56,8	54,9	53,2
AGO	Angola											139,7	138	136,2	134,6	133,2	132,3	131,5	131,1	130,8	130,7	130,9	131,2	131,6	132	132,2	132	131,2	129,9	128,1	125,8	122,9	119,6	115,8	111,3	106,6	101,5	96,3	90,9	85,6	80,3	75,4	70,7	66,5	62,7	59,5	56,9	54,6
ALB	Albania									72,7	68	63,4	59,1	55,4	51,7	48,4	45,3	42,5	40,1	38	36,2	34,7	33,3	32,1	31	30	28,9	27,7	26,6	25,4	24,2	23,1	22	20,9	20	19	18,2	17,4	16,7	16	15,4	14,8	14,3	13,8	13,3	12,9	12,5	12
AND	Andorra																10,6	9,8	9,2	8,5	7,9	7,4	6,8	6,3	5,9	5,5	5,2	4,9	4,6	4,3	4,2	4	3,8	3,7	3,6	3,5	3,3	3,3	3,2	3,1	3	2,9	2,9	2,8	2,7	2,6	2,5	2,4
ARE	United Arab Emirates	71	65,1	59,6	54,7	50,2	46	42,1	38,4	35	31,9	29,1	26,5	24,4	22,4	20,8	19,4	18,1	16,9	15,9	15	14,2	13,5	12,8	12,3	11,8	11,3	10,9	10,5	10,2	9,9	9,6	9,3	9,1	8,9	8,6	8,4	8,2	8	7,8	7,5	7,3	7,1	7	6,9	6,8	6,7	6,6
ARG	Argentina	59,4	58,7	57,8	56,7	55,2	53,1	50,5	47,3	43,9	40,5	37,5	34,7	32,4	30,4	28,7	27,4	26,4	25,9	25,7	25,6	25,5	25,1	24,4	23,6	22,6	21,6	20,6	19,7	18,8	18	17,3	16,7	16,2	15,7	15,2	14,8	14,4	14,1	13,7	13,4	12,9	12,4	11,9	11,3	10,8	10,3	9,9
ARM	Armenia							71	68,4	65,9	63,6	61,3	59,1	57,1	55,1	53,2	51,4	49,5	47,8	49,9	44,2	42,4	40,6	38,8	37	35,3	33,6	32,1	30,6	29,2	27,8	26,6	25,3	24,1	23	21,9	20,8	19,8	18,8	17,9	17	16,2	15,3	14,6	13,8	13,2	12,5	11,9
ASM	American Samoa																																															
ATG	Antigua and Barbuda																34,2	32	30,1	28,2	26,5	24,9	23,3	21,9	20,4	19,2	18	16,9	15,8	14,9	13,9	13,1	12,3	11,7	11,1	10,5	9,9	9,4	8,9	8,4	7,9	7,4	6,9	6,5	6,1	5,7	5,3	5,1
AUS	Australia	17,8	17,5	16,9	16,1	15,3	14,4	13,4	12,6	11,9	11,3	10,8	10,4	10,1	9,8	9,6	9,3	9,1	8,8	8,4	8	7,6	7,2	6,7	6,3	6	5,8	5,6	5,4	5,3	5,2	5,1	5	5	4,9	4,8	4,7	4,7	4,5	4,3	4,2	4	3,9	3,6	3,5	3,4	3,2	3,1
AUT	Austria	25	24,7	24,1	23	21,6	19,8	18,1	16,6	15,5	14,6	13,8	13,2	12,6	11,9	11,3	10,7	10,1	9,5	8,9	8,4	8	7,7	7,1	6,6	6,2	5,7	5,3	5	4,8	4,7	4,6	4,5	4,4	4,3	4,2	4,1	4	3,8	3,8	3,7	3,5	3,5	3,4	3,2	3	3	2,9
AZE	Azerbaijan													84,2	82,6	81,1	79,7	78,3	77,2	76,1	75,5	75,4	75,6	75,9	76,2	76	75,1	73,5	71,2	68,2	64,7	60,8	57	53,3	49,9	46,9	44,1	41,7	39,5	37,5	35,7	34,1	32,6	31,4	30,2	29,1	28,2	27,2
BDI	Burundi	145,9	146	146,1	146,1	146,1	145,7	144,7	142,8	139,8	135,7	130,9	125,7	120,2	115	110,3	106,5	104,1	102,7	102,4	102,6	103	103,5	103,8	103,8	103,3	102,4	101,2	99,6	97,6	95,3	92,8	90,2	87,6	84,6	81,3	77,9	74,2	70,5	67	63,8	60,9	58,3	56	53,9	52	50,1	48,4
BEL	Belgium	20,5	19,7	18,7	17,7	16,7	15,8	14,9	14,1	13,5	12,8	12,2	11,7	11,2	10,7	10,2	9,9	9,5	9,2	8,9	8,6	8,3	8	7,7	7,2	6,8	6,3	5,9	5,5	5,3	5	4,9	4,7	4,5	4,3	4,3	4,1	4	3,9	3,8	3,7	3,7	3,6	3,5	3,4	3,3	3,2	3,1
BEN	Benin	157	154,9	152,6	149,7	146,5	142,9	139,1	135,4	132	129,3	127,2	125,3	123,6	121,8	120	118	116,1	114,1	112,1	109,8	107,4	104,9	102,5	100,1	98,1	96,4	95	93,8	92,4	90,9	89,2	87,1	84,9	82,6	80,3	78,2	76,3	74,6	73,2	71,9	70,8	69,7	68,6	67,4	66,1	64,6	63,1
BFA	Burkina Faso	143,9	142,8	141,3	139	135,7	131,7	127,5	123,3	119,6	116,5	113,9	111,8	109,9	108,2	106,5	104,8	103,1	101,4	100,1	99,1	98,6	98,4	98,4	98,3	97,9	97,3	96,3	95,2	94	92,8	91,6	90,2	88,6	86,7	84,3	81,4	78,4	75,2	72,1	69,1	66,2	63,4	60,7	58,4	56,3	54,4	52,7
BGD	Bangladesh	149,2	148,6	148	147,3	146,4	145,1	143,4	141,4	139	136,4	133,6	130,7	127,7	124,6	121,2	117,9	114,4	110,8	107,1	103,4	99,7	95,9	92,1	88,3	84,5	80,8	77,2	73,7	70,3	67	64	61	58,2	55,6	53,1	50,6	48,2	45,8	43,5	41,3	39,1	37	35	33,2	31,4	29,7	28,2
BGR	Bulgaria	27,6	26,5	25,7	25,1	24,6	24,1	23,5	22,8	21,7	20,6	19,6	18,7	18,1	17,4	16,7	15,8	14,9	14,3	14,2	14,2	14,7	15	15,3	15,4	15,3	15,5	15,6	15,7	15,4	14,9	14,3	13,7	13,2	12,5	11,8	11	10,4	9,8	9,5	9,3	9,1	8,7	8,3	7,9	7,4	7	6,5
BHR	Bahrain	57,2	52,5	48,2	44,3	40,8	37,7	35,1	32,7	30,5	28,6	26,9	25,4	24	22,9	21,9	21,1	20,5	20,1	19,8	19,7	19,5	19,3	18,7	17,9	16,8	15,5	14,2	13,1	12,1	11,3	10,8	10,3	10	9,7	9,4	9,1	8,8	8,4	8	7,7	7,3	7,1	6,9	6,8	6,7	6,6	6,5
BHS	Bahamas, The	26	26,5	26,9	27,2	27,3	27,2	27	26,6	26,2	25,7	25,2	24,8	24,3	24	23,7	23,4	22,9	22,3	21,4	20,5	19,6	18,8	17,9	17,1	16,3	15,5	14,8	14,2	13,7	13,4	13,3	13,3	13,4	13,4	13,4	13,3	13,2	12,8	12,4	11,9	11,3	10,8	10,3	9,8	9,4	9	8,6
BIH	Bosnia and Herzegovina															26,2	24,1	22,1	20,4	18,9	17,4	16,1	14,9	14,4	13,6	12,3	11,7	10,7	10,1	9,6	9	8,7	8,4	8,1	8	7,9	7,7	7,4	7	6,7	6,2	6	5,7	5,5	5,4	5,3	5,3	5,2
BLR	Belarus											17,3	16,5	15,8	15,2	14,7	14,2	13,7	13,2	12,8	12,3	12,1	12,1	12,2	12,3	12,4	12,4	12,2	11,9	11,4	10,7	10	9,2	8,4	7,7	7,2	6,5	6	5,5	5	4,6	4,2	3,9	3,6	3,4	3,2	3	2,9
BLZ	Belize	69,9	67,4	65	62,7	60,5	58,5	56,6	54,9	53,2	51,6	50	48,3	46,6	44,9	43,2	41,3	39,4	37,4	35,5	33,6	31,7	30	28,4	27	25,7	24,6	23,6	22,7	21,9	21,2	20,4	19,8	19,2	18,7	18,3	17,9	17,5	17,2	16,9	16,5	16,1	15,6	15,1	14,6	2,578	13,4	12,8
BMU	Bermuda																																															
BOL	Bolivia	144	140,7	137,5	134,1	130,6	127,1	123,8	120,5	117,4	114,5	111,8	109,2	106,7	104,2	101,7	99,1	96,4	93,6	90,8	88	85,2	82,5	79,8	77,1	74,5	71,8	69,2	66,5	63,8	61,2	58,5	55,9	53,4	51	48,6	46,4	44,1	42	40	38,1	36,5	35,1	33,8	32,6	31,5	30,5	29,5
BRA	Brazil	102,8	100,4	97,9	95,5	93,1	90,7	88,3	85,7	83,1	80,2	77,2	74,3	71,3	68,5	65,8	63,4	61,2	59,2	57,3	55,4	53,4	51,3	49,1	46,8	44,3	41,9	39,5	37,3	35,1	33,1	31,3	29,4	27,7	26,1	24,6	23,1	21,8	20,6	19,6	18,6	17,7	16,9	16,1	15,3	14,7	14	13,5
BRB	Barbados	41,1	39,1	37,3	35,4	33,5	31,7	30	28,2	26,6	25,2	23,8	22,7	21,7	20,9	20,1	19,4	18,8	18,1	17,4	16,6	15,9	15,2	14,5	14	13,6	13,2	13,1	13	13	13,2	13,4	13,6	13,8	14	14,1	14,1	13,9	13,8	13,5	13,3	13,1	12,8	12,6	12,3	12	11,7	11,4
BRN	Brunei Darussalam													11,9	11,5	11,2	10,9	10,7	10,4	10,3	10,2	10,2	10,3	10,3	10,2	10,1	10	9,8	9,7	9,6	9,6	9,5	9,6	9,6	9,7	9,6	9,5	9,4	9,2	9,1	9	8,8	8,8	8,7	8,7	8,6	8,5	8,5
BTN	Bhutan	184,5	178,8	173	167,3	162	156,5	151,1	146,1	141,1	136,3	131,6	126,9	122,2	117,7	113,5	109,3	105,1	101,1	97,1	93,2	89,5	85,9	82,4	79,1	75,8	72,6	69,4	66,3	63,3	60,4	57,6	54,9	52,4	49,8	47,4	44,9	42,6	40,4	38,3	36,2	34,4	32,7	31,3	30	28,8	27,8	26,8
BWA	Botswana	85,1	82	78,9	75,6	72,4	69,1	65,9	62,7	59,7	56,8	54,1	51,6	49,3	47,1	45,2	43,5	42,1	41,2	40,7	40,8	41,5	42,7	44,3	46,1	47,8	49,4	50,6	51,5	52	52,8	52,2	51,4	50,4	49,3	47,9	44,2	42,9	43,4	42,8	41,5	40,1	40,3	38,8	36,7	35,9	33,9	32,6
CAF	Central African Republic	136	133,3	131	128,9	126,8	125	123,3	121,7	120,2	118,8	117,6	116,7	116	115,5	115,1	114,8	114,4	114,2	114,1	114	114	114,1	114,2	114,5	114,7	114,7	114,7	114,4	113,8	113,2	112,4	111,6	110,8	109,9	109	108,1	106,9	106	104,7	103	101,3	99,4	97,5	96	93,5	91,2	88,5
CAN	Canada	18,5	17,7	16,8	15,8	15	14,2	13,3	12,5	11,8	11	10,3	9,7	9,2	8,7	8,3	8	7,7	7,5	7,2	7,1	6,8	6,6	6,4	6,1	6	5,7	5,6	5,4	5,4	5,3	5,2	5,3	5,3	5,2	5,2	5,2	5,2	5,1	5	5	4,9	4,8	4,7	4,7	4,6	4,5	4,3
CHE	Switzerland	15	14,3	13,6	12,8	12	11,2	10,4	9,8	9,2	8,7	8,4	8,1	7,8	7,6	7,4	7,3	7,2	7,1	7	6,8	6,7	6,3	6,1	5,8	5,5	5,2	5	4,9	4,8	4,7	4,7	4,6	4,5	4,5	4,4	4,3	4,2	4,1	4	4	3,9	3,9	3,8	3,8	3,7	3,6	3,6
CHI	Channel Islands																																															
CHL	Chile	67,2	66,3	65,6	64,1	60,7	55,1	48,5	41,8	35,8	31,4	28,2	25,5	23	20,8	19,4	18,9	18,7	18,4	17,9	17,1	16	14,9	13,7	12,7	11,7	11	10,5	10,2	10	9,7	9,2	8,7	8,3	8	7,9	7,8	7,7	7,7	7,8	7,6	7,5	7,4	7,3	7,3	7,4	7,3	7,2
CHN	China	80,6	76,9	73,4	69,8	66,3	62,8	59,3	56	53	50,5	48,2	46,3	44,8	43,6	42,8	42,4	42,2	42,2	42,3	42,3	42,2	41,8	41,1	40,1	39	37,7	36,4	35	33,5	31,9	30,1	28,3	26,2	24,2	22,2	20,3	18,6	17,1	15,8	14,6	13,5	12,5	11,6	10,7	9,9	9,2	8,5
CIV	Cote d'Ivoire	161,8	157	151,7	146,3	140,6	134,9	129,3	124,1	119,7	116,1	113,1	110,6	108,7	107,2	106	105,2	104,6	104,2	104,1	104,2	104,2	104,4	104,5	104,7	104,7	104,7	104,5	104	103,2	102,1	100,7	96,9	95,1	93,2	91,1	89	86,8	83,7	81,5	79,5	78,4	76,5	74,6	72,3	70,1	68	66
