Field ID	Year Code	Year
3	m1970	1970
4	m1971	1971
5	m1972	1972
6	m1973	1973
7	m1974	1974
8	m1975	1975
9	m1976	1976
10	m1977	1977
11	m1978	1978
12	m1979	1979
13	m1980	1980
14	m1981	1981
15	m1982	1982
16	m1983	1983
17	m1984	1984
18	m1985	1985
19	m1986	1986
20	m1987	1987
21	m1988	1988
22	m1989	1989
23	m1990	1990
24	m1991	1991
25	m1992	1992
26	m1993	1993
27	m1994	1994
28	m1995	1995
29	m1996	1996
30	m1997	1997
31	m1998	1998
32	m1999	1999
33	m2000	2000
34	m2001	2001
35	m2002	2002
36	m2003	2003
37	m2004	2004
38	m2005	2005
39	m2006	2006
40	m2007	2007
41	m2008	2008
42	m2009	2009
43	m2010	2010
44	m2011	2011
45	m2012	2012
46	m2013	2013
47	m2014	2014
48	m2015	2015
49	m2016	2016
